Pos;Name;MP;W;D;L;GF;GA
1;Manchester City FC;38;29;6;3;99;26
2;Liverpool FC;38;28;8;2;94;26
3;Chelsea FC;38;21;11;6;76;33
4;Tottenham Hotspur FC;38;22;5;11;69;40
5;Arsenal FC;38;22;3;13;61;48
6;Manchester United FC;38;16;10;12;57;57
7;West Ham United FC;38;16;8;14;60;51
8;Leicester City FC;38;14;10;14;62;59
9;Brighton & Hove Albion FC;38;12;15;11;42;44
10;Wolverhampton Wanderers FC;38;15;6;17;38;43
11;Newcastle United FC;38;13;10;15;44;62
12;Crystal Palace FC;38;11;15;12;50;46
13;Brentford FC;38;13;7;18;48;56
14;Aston Villa FC;38;13;6;19;52;54
15;Southampton FC;38;9;13;16;43;67
16;Everton FC;38;11;6;21;43;66
17;Leeds United FC;38;9;11;18;42;79
18;Burnley FC;38;7;14;17;34;53
19;Watford FC;38;6;5;27;34;77
20;Norwich City FC;38;5;7;26;23;84
